epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,1722.04,1.49059,2.03311,0.00818,0.48804,0.35074,0.35773,0.19945,1.72467,2.11621,0.01722,0.000883725,0.000294575,0.000883725,0.000294575,0.000883725,0.000294575,0.000883725,0.000294575
85,1741.96,1.48368,1.99086,0.00826,0.47201,0.33264,0.3522,0.19692,1.75422,2.06995,0.0172,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921,0.0008763,0.0002921
86,1761.68,1.4861,2.02548,0.00839,0.48615,0.33488,0.35971,0.2026,1.73266,2.08829,0.01724,0.000868875,0.000289625,0.000868875,0.000289625,0.000868875,0.000289625,0.000868875,0.000289625
87,1781.54,1.51067,1.99011,0.00847,0.50303,0.33851,0.36705,0.20823,1.72864,2.09309,0.01713,0.00086145,0.00028715,0.00086145,0.00028715,0.00086145,0.00028715,0.00086145,0.00028715
88,1801.48,1.46801,1.94164,0.00816,0.48651,0.3336,0.36448,0.20691,1.72447,2.11625,0.01726,0.000854025,0.000284675,0.000854025,0.000284675,0.000854025,0.000284675,0.000854025,0.000284675
89,1821.88,1.48053,1.97534,0.00801,0.50996,0.3271,0.36587,0.20905,1.69995,2.12477,0.01679,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822,0.0008466,0.0002822
90,1842.1,1.48407,1.95334,0.00823,0.49906,0.32167,0.36243,0.20464,1.73964,2.11001,0.01735,0.000839175,0.000279725,0.000839175,0.000279725,0.000839175,0.000279725,0.000839175,0.000279725
91,1862.25,1.48424,1.94756,0.00805,0.53948,0.34321,0.37864,0.21072,1.76194,2.08533,0.01738,0.00083175,0.00027725,0.00083175,0.00027725,0.00083175,0.00027725,0.00083175,0.00027725
92,1882.53,1.48233,1.88355,0.00837,0.47582,0.3478,0.37609,0.21461,1.70725,2.08862,0.01619,0.000824325,0.000274775,0.000824325,0.000274775,0.000824325,0.000274775,0.000824325,0.000274775
93,1902.99,1.47621,1.92816,0.00819,0.47149,0.33815,0.37396,0.20712,1.74012,2.10201,0.01672,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723,0.0008169,0.0002723
94,1923.05,1.48141,1.89021,0.0083,0.46968,0.34604,0.37227,0.2091,1.73677,2.07707,0.01769,0.000809475,0.000269825,0.000809475,0.000269825,0.000809475,0.000269825,0.000809475,0.000269825
95,1944.14,1.49095,1.82588,0.00806,0.48353,0.33737,0.36503,0.20361,1.7421,2.04095,0.01694,0.00080205,0.00026735,0.00080205,0.00026735,0.00080205,0.00026735,0.00080205,0.00026735
96,1965.2,1.46421,1.84786,0.00826,0.50958,0.34688,0.38968,0.21546,1.73445,2.04354,0.01651,0.000794625,0.000264875,0.000794625,0.000264875,0.000794625,0.000264875,0.000794625,0.000264875
97,1986.01,1.46425,1.81697,0.00784,0.46671,0.35553,0.3733,0.21055,1.73948,2.06624,0.017,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624,0.0007872,0.0002624
98,2007.1,1.49106,1.8086,0.00838,0.49576,0.33286,0.37371,0.20977,1.75732,2.02572,0.01699,0.000779775,0.000259925,0.000779775,0.000259925,0.000779775,0.000259925,0.000779775,0.000259925
99,2027.58,1.47302,1.80828,0.00785,0.48747,0.3544,0.38456,0.21181,1.748,2.05829,0.01734,0.00077235,0.00025745,0.00077235,0.00025745,0.00077235,0.00025745,0.00077235,0.00025745
100,2047.79,1.45706,1.77839,0.00804,0.48635,0.3426,0.38086,0.20999,1.75084,2.08501,0.01704,0.000764925,0.000254975,0.000764925,0.000254975,0.000764925,0.000254975,0.000764925,0.000254975
101,2068.2,1.4867,1.78454,0.00841,0.45788,0.34771,0.37443,0.20745,1.79309,2.04489,0.01718,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525,0.0007575,0.0002525
102,2088.64,1.46068,1.7846,0.00813,0.48485,0.34177,0.37496,0.20968,1.78111,2.01784,0.01731,0.000750075,0.000250025,0.000750075,0.000250025,0.000750075,0.000250025,0.000750075,0.000250025
103,2108.5,1.46505,1.75697,0.00811,0.47236,0.34501,0.37638,0.20811,1.74083,2.04825,0.01711,0.00074265,0.00024755,0.00074265,0.00024755,0.00074265,0.00024755,0.00074265,0.00024755
104,2128.79,1.48148,1.78132,0.0082,0.49499,0.34478,0.38211,0.21409,1.7251,2.06402,0.01655,0.000735225,0.000245075,0.000735225,0.000245075,0.000735225,0.000245075,0.000735225,0.000245075
105,2148.97,1.46798,1.7057,0.00838,0.50048,0.35203,0.36941,0.20562,1.71537,2.06808,0.01651,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426,0.0007278,0.0002426
106,2169.34,1.45897,1.68899,0.00794,0.4956,0.33931,0.37645,0.21017,1.71373,2.06569,0.01654,0.000720375,0.000240125,0.000720375,0.000240125,0.000720375,0.000240125,0.000720375,0.000240125
107,2189.4,1.45696,1.70431,0.00786,0.45415,0.35309,0.36691,0.20472,1.72857,2.08105,0.01648,0.00071295,0.00023765,0.00071295,0.00023765,0.00071295,0.00023765,0.00071295,0.00023765
108,2209.67,1.48206,1.74471,0.00842,0.5043,0.33326,0.37718,0.21319,1.71109,2.06846,0.01647,0.000705525,0.000235175,0.000705525,0.000235175,0.000705525,0.000235175,0.000705525,0.000235175
109,2230.16,1.45196,1.68755,0.00789,0.50478,0.33645,0.37214,0.20562,1.73273,2.1049,0.01651,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327,0.0006981,0.0002327
110,2250.39,1.47355,1.6816,0.00801,0.49779,0.34796,0.38372,0.21569,1.72884,2.11531,0.01682,0.000690675,0.000230225,0.000690675,0.000230225,0.000690675,0.000230225,0.000690675,0.000230225
111,2270.76,1.45476,1.68042,0.00819,0.48622,0.34818,0.38289,0.21587,1.70602,2.09275,0.01647,0.00068325,0.00022775,0.00068325,0.00022775,0.00068325,0.00022775,0.00068325,0.00022775
112,2290.69,1.47854,1.66913,0.00779,0.47198,0.35753,0.36405,0.20634,1.74353,2.08708,0.01656,0.000675825,0.000225275,0.000675825,0.000225275,0.000675825,0.000225275,0.000675825,0.000225275
113,2310.67,1.4563,1.65004,0.00807,0.48239,0.34906,0.38084,0.21517,1.73026,2.0671,0.01672,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228,0.0006684,0.0002228
114,2330.72,1.46048,1.67749,0.00809,0.49179,0.31569,0.36643,0.20983,1.73501,2.08511,0.01673,0.000660975,0.000220325,0.000660975,0.000220325,0.000660975,0.000220325,0.000660975,0.000220325
115,2350.47,1.46776,1.63444,0.00803,0.46655,0.3477,0.37205,0.20847,1.71152,2.05593,0.01651,0.00065355,0.00021785,0.00065355,0.00021785,0.00065355,0.00021785,0.00065355,0.00021785
116,2370.7,1.47043,1.64532,0.00788,0.51222,0.32212,0.37447,0.21187,1.72708,2.05812,0.01687,0.000646125,0.000215375,0.000646125,0.000215375,0.000646125,0.000215375,0.000646125,0.000215375
117,2391,1.45506,1.64687,0.00814,0.48739,0.32905,0.36709,0.20664,1.73377,2.11213,0.01663,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129,0.0006387,0.0002129
118,2410.78,1.44805,1.6098,0.00766,0.49292,0.33945,0.37542,0.21172,1.73895,2.0391,0.01657,0.000631275,0.000210425,0.000631275,0.000210425,0.000631275,0.000210425,0.000631275,0.000210425
119,2430.87,1.47143,1.61605,0.00778,0.48092,0.36035,0.38585,0.21707,1.73382,2.06274,0.01653,0.00062385,0.00020795,0.00062385,0.00020795,0.00062385,0.00020795,0.00062385,0.00020795
120,2451.08,1.46347,1.62725,0.00776,0.48743,0.35032,0.38091,0.20964,1.75587,2.04346,0.01656,0.000616425,0.000205475,0.000616425,0.000205475,0.000616425,0.000205475,0.000616425,0.000205475
121,2471.3,1.45203,1.61895,0.00793,0.48961,0.33298,0.37677,0.21366,1.74762,2.06763,0.01723,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203,0.000609,0.000203
122,2491.71,1.45133,1.58254,0.00769,0.49836,0.34873,0.38453,0.21456,1.71014,2.06435,0.01674,0.000601575,0.000200525,0.000601575,0.000200525,0.000601575,0.000200525,0.000601575,0.000200525
123,2511.72,1.45493,1.60699,0.00777,0.48947,0.35147,0.3831,0.21502,1.70455,2.08665,0.01629,0.00059415,0.00019805,0.00059415,0.00019805,0.00059415,0.00019805,0.00059415,0.00019805
124,2532.15,1.45398,1.56085,0.00778,0.465,0.34003,0.37887,0.21337,1.72951,2.03257,0.01633,0.000586725,0.000195575,0.000586725,0.000195575,0.000586725,0.000195575,0.000586725,0.000195575
125,2552.61,1.4564,1.59459,0.00817,0.51092,0.33244,0.38031,0.21402,1.72051,2.0782,0.01623,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931,0.0005793,0.0001931
